,reviews,stars,date,Verified
0, trip verifi famili flown most british airway last 30 year prioriti passeng fli often enough recognis cabin crew know name use realli good airlin fli thing realli deterior face face custom care sinc pandem aircraft look worn exampl flight back audiovisu equip work reset twice final work last hour land second time around think reset done whole aircraft touch screen function screen work usb charger port seat work staff pleasant enough servic ooz mediocr seem much pride food worst part ba flight sinc pandem gave us menu ask like check told us avail run would like choos someth els told us get first choic second servic deliv final choos get whatev food tasteless take part post flight survey regular state avail famili 3 fli british airway medium long haul regular possibl 4 6 time year us good thing fli ba prioriti custom usual direct flight destin get good servic ground check loung use ,5,2023-07-09,True
1, trip verifi far worst servic plane obvious fli economi frequent travel british airway care littl wait hour even open check 5 line one servic economi even though line economi three time length premium class told economi passeng bag check carryon due full flight room overhead compart arriv gate enough seat fit everyon leav board area never fli airlin ,4,2023-07-09,True
2, trip verifi nov 2022 book paid return journey new zealand return journey final flight london edinburgh tri check told ticket exist show evid flight book paid deni ticket option buy ticket later flight cost 265 07 sinc nov 22 ie 8 month ago communic multipl time ba attempt money return admit respons error cost 265 final receiv word decid refund sum 32 14 ask explan receiv none polit e mail inform decis check correct intend let matter go compani worth billion pound return honest refund ps also lost luggag noth help retriev track week later edinburgh airport pick ,2,2023-07-08,True
3,verifi ba treat premium economi passeng respect pay premium economi servic compel use economi toilet back plane short chang passeng ,2,2023-07-06,False
4, trip verifi 24 hour departur ba059 cape town heathrow thursday 29th june onlin check seat alreadi alloc wife 41 e f middl two seat central block four total unsuit us late 70 get seat stretch leg go toilet would mean climb person aisl seat avail got heathrow 6 hour departur tri chang seat check avail although ladi sympathet tri utmost offer us upgrad premium economi 450gbp beyond afford said tri departur gate also fail spoke member flight crew total unsympathet economi seat tini jam shoulder shoulder wife stranger knee touch seat pocket front 12 hour suffer manag get seat due kind young ladi next aisl mission tri clamber past reclin backrest front ba economi absolut aw even meal near ined choic spici food suitabl fli especi older person breakfast spanish omelett howev bad previous day flown economi malta heathrow malta airlin 3 hour trip pleasur seat wide ampl legroom british airway ,4,2023-07-05,True
5, trip verifi arriv heathrow 0600 find flight ibiza cancel ba explan gall enough custom servic ba airport non exist explan apolog assist find altern flight manag find anoth flight stanst much later today thus wast chunk short trip simpli understand ba proactiv contact custom notifi cancel work resolv problem shock custom servic ,1,2023-07-05,True
6, trip verifi origin flight cancel explan repres help rebook call custom servic long distanc call line kept drop 40 call find new book discov way could fli next day pay busi class help hotel night stay ,1,2023-07-04,True
7,verifi airport check functionari littl warmth effici flight delay communic given board chaotic manag process ground staff seat board tight realli feel like cram everi seat possibl next reclin howev thank reclin person front even slightest reclin would face owe tight seat space a321 aircraft amen flight except toilet clean small ife food beverag unless pay extra staff friend luggag arriv carousel within short amount time ,3,2023-07-03,False
8, trip verifi flight fine line competitor pleasant crew niggl buss aircraft heathrow seem like standard berlin flight would use ,3,2023-07-02,True
9, trip verifi came glasgow london took connect flight american airlin london north carolina third day north carolina still wait luggag even bother transfer luggag connect flight luggag still glasgow ,10,2023-06-30,True
